TBL_NM,ITM_NM_ENG,ITM_ID,ORG_ID,C1_OBJ_NM,C2_OBJ_NM,C3_OBJ_NM,C2,C1_NM_ENG,C2_NM_ENG,C3_NM_ENG,LST_CHN_DE,PRD_DE,ITM_NM,TBL_ID,C1_OBJ_NM_ENG,C2_OBJ_NM_ENG,C3_OBJ_NM_ENG,C3,DT,PRD_SE,C1,C1_NM,C2_NM,C3_NM
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Sex ratio(males per 100 females),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,13,99.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,성비(여자1백명당)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Sex ratio(males per 100 females),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,13,99.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,성비(여자1백명당)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Sex ratio(males per 100 females),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,13,99.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,성비(여자1백명당)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population Growth Rate,2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,14,-0.72,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구성장률(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population Growth Rate,2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,14,-0.77,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구성장률(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population Growth Rate,2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,14,-0.82,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구성장률(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population Growth Rate,2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,14,-0.87,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구성장률(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population Growth Rate,2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,14,-0.92,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구성장률(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,15,100,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구구성비(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,15,100,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구구성비(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,15,100,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구구성비(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,15,100,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구구성비(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,15,100,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구구성비(%)
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,0-14 years old(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,21,3856154,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,0-14 years old(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,21,3808132,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,0-14 years old(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,21,3751268,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,0-14 years old(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,21,3685429,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,0-14 years old(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,21,3610447,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,15-64 years old(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,22,25167604,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,15-64 years old(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,22,24781109,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,15-64 years old(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,22,24447839,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,15-64 years old(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,22,24113219,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,15-64 years old(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,22,23796117,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,65 years old and over(persons),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,23,18839313,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,65 years old and over(persons),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,23,18906673,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,65 years old and over(persons),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,23,18907853,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,65 years old and over(persons),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,23,18898743,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,65 years old and over(persons),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,23,18861050,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,인구(명): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 0-14 years old,2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,31,8.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 0-14 years old,2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,31,8,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 0-14 years old,2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,31,8,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 0-14 years old,2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,31,7.9,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 0-14 years old,2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,31,7.8,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 0-14세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 15-64 years old,2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,32,52.6,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 15-64 years old,2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,32,52.2,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 15-64 years old,2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,32,51.9,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 15-64 years old,2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,32,51.6,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 15-64 years old,2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,32,51.4,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 15-64세
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 65 years old and over,2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,33,39.4,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 65 years old and over,2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,33,39.8,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 65 years old and over,2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,33,40.1,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 65 years old and over,2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,33,40.5,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Population percentage(%): 65 years old and over,2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,33,40.8,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,- 구성비(%): 65세 이상
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(total),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,40,90.2,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(total),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,40,91.7,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(total),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,40,92.7,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(total),2024-05-22,2051,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,40,93.7,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(total),2024-05-22,2052,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,40,94.4,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,총부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(child),2024-05-22,2048,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,41,15.3,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,유소년부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(child),2024-05-22,2049,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,41,15.4,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,유소년부양비
주요 인구지표(성비인구성장률인구구조부양비 등)/시도,Population items,T10,101,시나리오별,시도별,인구구조 부양비별,00,Medium,Whole country,Dependency ratio(child),2024-05-22,2050,인구항목,DT_1BPB002,By scenarios,By province,By the structure of population and dependency ratio,41,15.3,A,1,중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위),전국,유소년부양비
