TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,PRD_SE,C2,C1,C1_NM,C2_NM,C1_NM_ENG,C2_NM_ENG,LST_CHN_DE
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,58.479,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,세,101,Age,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,58.724,Q,4,M0,전체 평균,가구주연령,Total average,Age of household's head,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,%,101,%,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,100,Q,7,M0,전체 평균,가구분포,Total average,Distribution of households,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5077810.956,Q,A,M0,전체 평균,소득,Total average,Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5301669.857,Q,A,M0,전체 평균,소득,Total average,Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5747455.208,Q,A,M0,전체 평균,소득,Total average,Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,6200304.382,Q,A,M0,전체 평균,소득,Total average,Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3885689.947,Q,A,M0,전체 평균,소득,Total average,Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3737048.525,Q,A,M0,전체 평균,소득,Total average,Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,4983977.791,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5216334.868,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5648478.537,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,6098983.848,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3801013.408,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3679546.125,Q,B2,M0,전체 평균,경상소득,Total average,Current income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3342706.526,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3518821.888,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,4909132.69,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,5212107.638,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,554107.159,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,570625.565,Q,B4,M0,전체 평균,근로소득,Total average,Wage and salary income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,934580.85,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,853309.476,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,248464.467,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,215062.346,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2156026.045,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,1964567.775,Q,B5,M0,전체 평균,사업소득,Total average,Business income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,52888.258,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,56621.153,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,41181.184,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,54911.653,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,73729.547,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,59597.582,Q,B6,M0,전체 평균,재산소득,Total average,Property Income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,653802.154,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,787582.354,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,449700.192,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,616902.208,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,1017150.658,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,1084755.219,Q,B7,M0,전체 평균,이전소득,Total average,Transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,447375.257,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,555482.267,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,305201.813,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,439832.344,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,700476.734,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,756841.474,Q,B701,M0,전체 평균,공적이전소득,Total average,Public transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,206426.897,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,232100.092,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,144498.379,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,177069.866,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,316673.922,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,327913.755,Q,B702,M0,전체 평균,사적이전소득,Total average,Private transfer income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,93833.167,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,85334.994,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,98976.67,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,101320.539,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,84676.548,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,57502.404,Q,B8,M0,전체 평균,비경상소득,Total average,Noncurrent income,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3896985.799,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,4097414.65,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,4351223.996,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,4631792.638,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3088337.185,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3167003.927,Q,D,M0,전체 평균,가계지출,Total average,Expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2880996.8,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2982012.215,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3119382.733,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,3261823.984,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2456614.931,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,2494829.217,Q,F,M0,전체 평균,소비지출,Total average,Consumption expenditure,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,405050.255,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,408068.211,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,401319.545,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,409776.151,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,411691.779,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자외가구,Other households (average),T150,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,405094.5,Q,H,M0,전체 평균,01.식료품 · 비주류음료,Total average,01.Food and soft drinks,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,18958.938,Q,H1,M0,전체 평균,곡물,Total average,Cereals,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,전체가구,All households (average),T110,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,13686.528,Q,H1,M0,전체 평균,곡물,Total average,Cereals,2024-05-20
소득구간별 가구당 월평균 가계수지 (도시1인이상),202304,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,15917.822,Q,H1,M0,전체 평균,곡물,Total average,Cereals,2024-02-24
소득구간별 가구당 월평균 가계수지 (도시1인이상),202401,DT_1L9U029,근로자가구,Salary ＆ wage earners' households (average),T120,원,101,Won,소득구간별,By income group,가계수지항목별,By the item of monthly income ＆ expenditure of household,11847.908,Q,H1,M0,전체 평균,곡물,Total average,Cereals,2024-05-20
